evaluations raw_y y y_p misses hits c__w_allowed_tinf_ c__w_allowed_inc_ c__bending_capacity_ c__shear_VRd_max_ c__min_slab_depth_fire_ c__min_reinforcement_crack_ c__min_reinforcement_ductility_ c__max_reinforcement c__max_reinforcement_spacing_lay_1 c__max_reinforcement_spacing_lay_2 c__max_reinforcement_spacing_lay_3 c__min_reinforcement_spacing_lay_1 c__min_reinforcement_spacing_lay_2 c__min_reinforcement_spacing_lay_3 c__reinforcement_outside_cross_section c__vibration_f_min_Hz c__beam_bending_capacity_ c__beam_shear_VRd_max_ c__beam_min_width_fire_ c__beam_min_reinforcement_crack_ c__beam_min_reinforcement_duct_ c__beam_max_reinforcement_ c__beam_min_spacing_lay_1_ c__beam_min_spacing_lay_2_ c__beam_deflection_tinf_ var__slab_depth_mm var__reinforcement_spacing_lay_1_mm var__reinforcement_spacing_lay_2_mm var__reinforcement_spacing_lay_3_mm var__reinforcement_layer_active_2_ var__reinforcement_layer_active_3_ var__reinforcement_diameter_mm var__concrete_grade_MPa var__beam_depth_mm var__beam_reinforcement_diameter_mm var__beam_reinforcement_spacing_lay_1_mm var__beam_reinforcement_spacing_lay_2_mm var__beam_reinforcement_layer_active_2_
11 20867.0018330051 178.2197342715 20867.0018330051 11.0000000000 275.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 1.0000000000 0.0000000000 20.0000000000 45.0000000000 400.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
12 7512.3412140110 136.8951553911 7512.3412140110 12.0000000000 300.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 0.0000000000 20.0000000000 45.0000000000 400.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
13 14661.1046088697 178.2197342715 14661.1046088697 13.0000000000 325.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 1.0000000000 20.0000000000 45.0000000000 400.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
14 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 14.0000000000 350.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 0.0000000000 12.0000000000 45.0000000000 400.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
15 23184.2891430799 180.8807914939 23184.2891430799 15.0000000000 375.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 0.0000000000 28.0000000000 45.0000000000 400.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
16 37835.7714394634 110.5291353325 37835.7714394634 16.0000000000 400.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 0.0000000000 20.0000000000 25.0000000000 400.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
17 2803.6611036826 147.1170844710 2803.6611036826 17.0000000000 425.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 0.0000000000 20.0000000000 70.0000000000 400.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
18 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 18.0000000000 450.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 0.0000000000 20.0000000000 45.0000000000 250.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
19 4507.8194076163 140.1032396323 4507.8194076163 19.0000000000 475.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 0.0000000000 20.0000000000 45.0000000000 550.0000000000 20.0000000000 34.2900000000 34.2900000000 0.0000000000
20 1000000000000.0000000000 1000000000000.0000000000 1000000000000.0000000000 20.0000000000 500.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 0.0000000000 240.0000000000 58.8000000000 58.8000000000 58.8000000000 0.0000000000 0.0000000000 20.0000000000 45.0000000000 400.0000000000 12.0000000000 34.2900000000 34.2900000000 0.0000000000
